districtNumber,districtType,districtName,year,gradRate
0726,01,Becker,2017,NA
0738,01,Holdingford,2017,NA
0739,01,Kimball,2017,NA
0741,01,Paynesville,2017,NA
0743,01,Sauk Centre,2017,NA
0745,01,Albany,2017,NA
0748,01,Sartell-St. Stephen,2017,NA
0756,01,Blooming Prairie,2017,NA
0763,01,Medford,2017,NA
0768,01,Hancock,2017,NA
0771,01,Chokio-Alberta,2017,NA
0775,01,Kerkhoven-Murdock-Sunburg,2017,NA
0777,01,Benson,2017,NA
0786,01,Bertha-Hewitt,2017,NA
0787,01,Browerville,2017,NA
0801,01,Browns Valley,2017,NA
0803,01,Wheaton Area,2017,NA
0811,01,Wabasha-Kellogg,2017,NA
0813,01,Lake City,2017,NA
0815,02,Prinsburg,2017,NA
0818,01,Verndale,2017,NA
0820,01,Sebeka,2017,NA
0821,01,Menahga,2017,NA
0836,01,Butterfiled-Odin,2017,NA
0846,01,Breckenridge,2017,NA
0850,01,Rothsay,2017,NA
0852,01,Campbell-Tintah,2017,NA
0857,01,Lewiston-Altura,2017,NA
0876,01,Annandale,2017,NA
0879,01,Delano,2017,NA
0881,01,Maple Lake,2017,NA
0883,01,Rockford,2017,NA
0891,01,Canby,2017,NA
0912,01,Milaca,2017,NA
0914,01,Ulen-Hitterdal,2017,NA
2071,01,Lake Crystal-Wellcome Memorial,2017,NA
2125,01,Triton,2017,NA
2134,01,United South Central,2017,NA
2135,01,Maple River,2017,NA
2137,01,Kingsland,2017,NA
2143,01,Waterville-Elysian-Morristown,2017,NA
2144,01,Chisago Lakes,2017,NA
2149,01,Minnewaska,2017,NA
2154,01,Eveleth-Gilbert,2017,NA
2155,01,Wadena-Deer Creek,2017,NA
2159,01,Buffalo Lake-Hector-Stewart,2017,NA
2164,01,Dilworth-Glyndon-Felton,2017,NA
2165,01,Hinkcley-Finlayson,2017,NA
2167,01,Lakeview,2017,NA
2168,01,N.R.H.E.G.,2017,NA
2169,01,Murray County Central,2017,NA
2170,01,Staples-Motley,2017,NA
2171,01,Kittson Central,2017,NA
2172,01,Kenyon-Wanamingo,2017,NA
2174,01,Pine River-Backus,2017,NA
2176,01,Warren-Alvarado-Oslo,2017,NA
2180,01,M.A.C.C.R.A.Y,2017,NA
2184,01,Luverne,2017,NA
2190,01,Yellow Medicine East,2017,NA
2198,01,Fillmore Central,2017,NA
2215,01,Norman County East,2017,NA
2311,01,Clearbrook-Gonvick,2017,NA
2342,01,West Central Area,2017,NA
2358,01,Tri-County,2017,NA
2364,01,Belgrade-Brooten-Elrosa,2017,NA
2396,01,A.C.G.C.,2017,NA
2448,01,Martin County West,2017,NA
2527,01,Norman County West,2017,NA
2534,01,Bird Island-Olivia-Lake Lillian,2017,NA
2536,01,Granada-Huntley-East Chain,2017,NA
2580,01,East Central,2017,NA
2609,01,Win-E-Mac,2017,NA
2683,01,Greenbush-Middle River,2017,NA
2687,01,Howard Lake-Waverly-Winsted,2017,NA
2689,01,Pipestone Area,2017,NA
2711,01,Mesabi East,2017,NA
2754,01,Cedar Mountain,2017,NA
2759,01,Eagle Valley,2017,NA
2769,01,Morris Area,2017,NA
2805,01,Zumbrota-Mazeppa,2017,NA
2835,01,Janesville-Waldorf-Pemberton,2017,NA
2853,01,Lac qui Parle Valley,2017,NA
2854,01,Ada-Borup,2017,NA
2856,01,Stephen-Argyle Central,2017,NA
2860,01,Blue Earth Area,2017,NA
2884,01,Red Rock Central,2017,NA
2886,01,Glenville-Emmons,2017,NA
2888,01,Clinton-Graceville-Beardsley,2017,NA
2889,01,Lake Park-Audubon,2017,NA
2895,01,Jackson Coutny Central,2017,NA
2899,01,Plainview-Elgin-Millville,2017,NA
2902,01,Russell-Tyler-Ruthton,2017,NA
2903,01,Ortonville,2017,NA
2904,01,Tracy Area,2017,NA
2906,01,Red Lake County Central,2017,NA
2908,01,Brandon-Evansville,2017,NA
2907,01,Round Lake-Brewster,2017,NA
